freq	prev	p.freq	p.prev	p	contaminant
1807140	0	0	NA	NA	NA	FALSE
225057	0	0	NA	NA	NA	FALSE
225058	0	0	NA	NA	NA	FALSE
119977	2.87330242350904e-05	6	NA	0.813586796345417	0.813586796345417	FALSE
33059	4.29905979562268e-06	1	NA	NA	NA	FALSE
1232575	6.83685028318069e-06	2	NA	0.630541871921182	0.630541871921182	FALSE
28211	0.0147934849561681	19	NA	0.995579133510168	0.995579133510168	FALSE
213485	0	0	NA	NA	NA	FALSE
349221	2.45586201984828e-06	1	NA	NA	NA	FALSE
204458	0	0	NA	NA	NA	FALSE
76892	0.00012096264737256	15	NA	0.978927203065134	0.978927203065134	FALSE
76890	0	0	NA	NA	NA	FALSE
78587	1.87237222046741e-05	4	NA	0.733695423350596	0.733695423350596	FALSE
41275	0.000249993329185378	16	NA	0.984948002189381	0.984948002189381	FALSE
293	6.68479500190947e-06	2	NA	0.630541871921182	0.630541871921182	FALSE
588932	4.72089369541626e-05	6	NA	0.813586796345417	0.813586796345417	FALSE
74313	0	0	NA	NA	NA	FALSE
1325724	4.38098826333241e-06	1	NA	NA	NA	FALSE
1532555	4.38098826333241e-06	1	NA	NA	NA	FALSE
1827469	2.60339137949947e-05	3	NA	0.68527640941434	0.68527640941434	FALSE
1938605	2.48684813895224e-05	4	NA	0.733695423350596	0.733695423350596	FALSE
75	0.000105536555992878	15	NA	0.978927203065134	0.978927203065134	FALSE
1679497	5.38583677970854e-05	11	NA	0.935581659719591	0.935581659719591	FALSE
69395	6.86750229641227e-06	2	NA	0.630541871921182	0.630541871921182	FALSE
69666	7.69924686595608e-05	13	NA	0.961685823754789	0.961685823754789	FALSE
88688	1.32017950480727e-07	1	NA	NA	NA	FALSE
155892	7.38664158641733e-05	11	NA	0.935581659719591	0.935581659719591	FALSE
69665	1.84457614462803e-05	4	NA	0.733695423350596	0.733695423350596	FALSE
366602	0.000121931934051077	11	NA	0.935581659719591	0.935581659719591	FALSE
20	7.43851289141134e-05	12	NA	0.949896846448571	0.949896846448571	FALSE
284016	3.68669044655738e-08	1	NA	NA	NA	FALSE
356	0.0158427224493373	20	NA	0.997347480106101	0.997347480106101	FALSE
255475	1.97151616424609e-05	10	NA	0.918403435644815	0.918403435644815	FALSE
414371	2.49602609149509e-05	7	NA	0.846006483937518	0.846006483937518	FALSE
370622	8.73036486377377e-06	1	NA	NA	NA	FALSE
424757	9.79030730372045e-06	2	NA	0.630541871921182	0.630541871921182	FALSE
1349819	4.6803646316335e-05	9	NA	0.898004294556019	0.898004294556019	FALSE
1638162	2.45586201984828e-06	1	NA	NA	NA	FALSE
1638163	3.6059772679193e-06	1	NA	NA	NA	FALSE
217510	3.00498105659941e-06	1	NA	NA	NA	FALSE
293088	3.77600270683748e-05	8	NA	0.874005305039788	0.874005305039788	FALSE
1486262	4.79737514935472e-05	6	NA	0.813586796345417	0.813586796345417	FALSE
293089	0	0	NA	NA	NA	FALSE
686597	8.4673807339314e-06	2	NA	0.630541871921182	0.630541871921182	FALSE
45404	2.74493456739891e-05	8	NA	0.874005305039788	0.874005305039788	FALSE
532	0	0	NA	NA	NA	FALSE
533	0	0	NA	NA	NA	FALSE
120652	3.70103173519381e-05	9	NA	0.898004294556019	0.898004294556019	FALSE
199596	0	0	NA	NA	NA	FALSE
227605	1.36819701921387e-05	3	NA	0.68527640941434	0.68527640941434	FALSE
1156568	0	0	NA	NA	NA	FALSE
569860	5.00112417231063e-05	6	NA	0.813586796345417	0.813586796345417	FALSE
2831090	0	0	NA	NA	NA	FALSE
59282	0.000274659450207741	15	NA	0.978927203065134	0.978927203065134	FALSE
1079	0.000192382085960432	16	NA	0.984948002189381	0.984948002189381	FALSE
2831100	0	0	NA	NA	NA	FALSE
85413	0.000367978610978881	16	NA	0.984948002189381	0.984948002189381	FALSE
1036780	2.45586201984828e-06	1	NA	NA	NA	FALSE
1526658	0.000174368510279598	16	NA	0.984948002189381	0.984948002189381	FALSE
1792307	9.56382211839818e-05	11	NA	0.935581659719591	0.935581659719591	FALSE
1842539	0.000183896101260384	15	NA	0.978927203065134	0.978927203065134	FALSE
1867715	0.000133863569632575	15	NA	0.978927203065134	0.978927203065134	FALSE
41294	0.0042409910566393	16	NA	0.984948002189381	0.984948002189381	FALSE
1033	1.65805236758127e-05	9	NA	0.898004294556019	0.898004294556019	FALSE
40137	0.000123237120343717	14	NA	0.971264367816092	0.971264367816092	FALSE
56977	4.36518243188689e-06	1	NA	NA	NA	FALSE
1882747	0.000266875767611001	16	NA	0.984948002189381	0.984948002189381	FALSE
290207	8.76197652666482e-06	1	NA	NA	NA	FALSE
374	0.0119923926665141	18	NA	0.923582164961475	0.923582164961475	FALSE
244734	0.000165961176632096	10	NA	0.918403435644815	0.918403435644815	FALSE
255045	0.00032927286983586	16	NA	0.984948002189381	0.984948002189381	FALSE
1404864	0.000152011339581153	12	NA	0.949896846448571	0.949896846448571	FALSE
